"item","scale","domain","top_10_predictor","correlation_with_mh_composite","abs_correlation_with_mh"
"gad_7_3","GAD-7","Mental Health",FALSE,0.784313630482809,0.784313630482809
"gad_7_2","GAD-7","Mental Health",FALSE,0.779637085457636,0.779637085457636
"gad_7_1","GAD-7","Mental Health",FALSE,0.758772308645836,0.758772308645836
"phq_9_2","PHQ-9","Mental Health",FALSE,0.756052148615056,0.756052148615056
"gad_7_7","GAD-7","Mental Health",FALSE,0.744217754252447,0.744217754252447
"stai_2","STAI","Mental Health",FALSE,0.735379795778145,0.735379795778145
"gad_7_4","GAD-7","Mental Health",FALSE,0.733458898487763,0.733458898487763
"phq_9_4","PHQ-9","Mental Health",FALSE,0.729690912355267,0.729690912355267
"phq_9_1","PHQ-9","Mental Health",FALSE,0.727485477309272,0.727485477309272
"phq_9_6","PHQ-9","Mental Health",FALSE,0.714875603431034,0.714875603431034
"stai_20","STAI","Mental Health",FALSE,0.70022818851632,0.70022818851632
"stai_8","STAI","Mental Health",FALSE,0.699870455670148,0.699870455670148
"phq_9_7","PHQ-9","Mental Health",FALSE,0.691847195689672,0.691847195689672
"stai_15","STAI","Mental Health",FALSE,0.687106359716387,0.687106359716387
"sss_8_4","SSS-8","Mental Health",FALSE,0.682444901388061,0.682444901388061
"gad_7_6","GAD-7","Mental Health",FALSE,0.679979277913947,0.679979277913947
"stai_5","STAI","Mental Health",FALSE,0.676607175684447,0.676607175684447
"tas_13","TAS","Mental Health",FALSE,0.675350247746727,0.675350247746727
"stai_18","STAI","Mental Health",FALSE,0.666839683629788,0.666839683629788
"phq_9_5","PHQ-9","Mental Health",FALSE,0.65008216076031,0.65008216076031
"stai_17","STAI","Mental Health",FALSE,0.646407773365648,0.646407773365648
"gad_7_5","GAD-7","Mental Health",FALSE,0.646170115317445,0.646170115317445
"stai_9","STAI","Mental Health",FALSE,0.639227261436518,0.639227261436518
"pcs_4","PCS","Mental Health",FALSE,0.635629983775947,0.635629983775947
"stai_4","STAI","Mental Health",FALSE,0.63245506976699,0.63245506976699
"tas_1","TAS","Mental Health",FALSE,0.631158916742244,0.631158916742244
"phq_9_3","PHQ-9","Mental Health",FALSE,0.616118825232313,0.616118825232313
"tas_9","TAS","Mental Health",FALSE,0.615522688422024,0.615522688422024
"stai_19","STAI","Mental Health",FALSE,0.609731048166002,0.609731048166002
"pcs_3","PCS","Mental Health",FALSE,0.606980466194196,0.606980466194196
"stai_11","STAI","Mental Health",FALSE,0.604834020258545,0.604834020258545
"stai_13","STAI","Mental Health",FALSE,0.601638362768851,0.601638362768851
"stai_16","STAI","Mental Health",FALSE,0.601567238764278,0.601567238764278
"stai_10","STAI","Mental Health",FALSE,0.601008280948111,0.601008280948111
"stai_1","STAI","Mental Health",FALSE,0.593208865064479,0.593208865064479
"pcs_2","PCS","Mental Health",FALSE,0.591215228498513,0.591215228498513
"stai_12","STAI","Mental Health",FALSE,0.590891356805175,0.590891356805175
"stai_3","STAI","Mental Health",FALSE,-0.585852461189637,0.585852461189637
"tas_7","TAS","Mental Health",FALSE,0.584335296313409,0.584335296313409
"tas_2","TAS","Mental Health",FALSE,0.582246134867841,0.582246134867841
"tas_14","TAS","Mental Health",FALSE,0.572062728474608,0.572062728474608
"sss_8_8","SSS-8","Mental Health",FALSE,0.571854623375253,0.571854623375253
"pcs_5","PCS","Mental Health",FALSE,0.567829552589577,0.567829552589577
"stai_7","STAI","Mental Health",FALSE,0.567269280473115,0.567269280473115
"tas_6","TAS","Mental Health",FALSE,0.56021193565596,0.56021193565596
"pcs_9","PCS","Mental Health",FALSE,0.557875603770527,0.557875603770527
"phq_9_9","PHQ-9","Mental Health",FALSE,0.557583571961838,0.557583571961838
"pcs_6","PCS","Mental Health",FALSE,0.541146701424377,0.541146701424377
"tas_3","TAS","Mental Health",FALSE,0.540203895956147,0.540203895956147
"pcs_12","PCS","Mental Health",FALSE,0.536132886098338,0.536132886098338
"pcs_7","PCS","Mental Health",FALSE,0.534585643006753,0.534585643006753
"pcs_1","PCS","Mental Health",FALSE,0.533645620888632,0.533645620888632
"stai_6","STAI","Mental Health",FALSE,0.531836655025346,0.531836655025346
"phq_9_8","PHQ-9","Mental Health",FALSE,0.525791668985084,0.525791668985084
"pcs_10","PCS","Mental Health",FALSE,0.522524842718134,0.522524842718134
"pcs_8","PCS","Mental Health",FALSE,0.520628235947402,0.520628235947402
"pcs_13","PCS","Mental Health",FALSE,0.514433439304297,0.514433439304297
"sss_8_7","SSS-8","Mental Health",FALSE,0.51246844239355,0.51246844239355
"sss_8_2","SSS-8","Mental Health",FALSE,0.501238434482093,0.501238434482093
"sss_8_5","SSS-8","Mental Health",FALSE,0.493561787650572,0.493561787650572
"pcs_11","PCS","Mental Health",FALSE,0.489810724344117,0.489810724344117
"stai_14","STAI","Mental Health",FALSE,-0.481463064943318,0.481463064943318
"tas_11","TAS","Mental Health",FALSE,0.47536120557103,0.47536120557103
"tas_4","TAS","Mental Health",FALSE,0.46158721486071,0.46158721486071
"iats_17","IATS","Interoception",TRUE,0.438965353919258,0.438965353919258
"sss_8_6","SSS-8","Mental Health",FALSE,0.43838492774436,0.43838492774436
"sss_8_3","SSS-8","Mental Health",FALSE,0.434155870426812,0.434155870426812
"tas_17","TAS","Mental Health",FALSE,0.432117845480212,0.432117845480212
"sss_8_1","SSS-8","Mental Health",FALSE,0.39710585223002,0.39710585223002
"tas_12","TAS","Mental Health",FALSE,0.369542970553244,0.369542970553244
"iats_3","IATS","Interoception",TRUE,0.369436353398483,0.369436353398483
"iats_21","IATS","Interoception",TRUE,0.349913147052785,0.349913147052785
"iats_16","IATS","Interoception",TRUE,0.340769185725677,0.340769185725677
"iats_15","IATS","Interoception",FALSE,0.340371020163016,0.340371020163016
"iats_1","IATS","Interoception",TRUE,0.333182655888284,0.333182655888284
"iats_11","IATS","Interoception",TRUE,0.311088198791316,0.311088198791316
"iats_20","IATS","Interoception",FALSE,0.300953033380561,0.300953033380561
"ias_2","IAS","Interoception",TRUE,-0.284530344595439,0.284530344595439
"tas_20","TAS","Mental Health",FALSE,0.268676617558615,0.268676617558615
"ias_5","IAS","Interoception",TRUE,-0.264035020652725,0.264035020652725
"ias_19","IAS","Interoception",TRUE,-0.262555455311236,0.262555455311236
"iats_8","IATS","Interoception",FALSE,0.254327955014131,0.254327955014131
"iats_6","IATS","Interoception",FALSE,0.2451179117045,0.2451179117045
"iats_18","IATS","Interoception",TRUE,0.241518701699455,0.241518701699455
"iats_10","IATS","Interoception",FALSE,0.237975236583326,0.237975236583326
"ias_4","IAS","Interoception",FALSE,-0.229197831625295,0.229197831625295
"iats_5","IATS","Interoception",FALSE,0.228615147628457,0.228615147628457
"iats_13","IATS","Interoception",FALSE,0.221874707043987,0.221874707043987
"iats_2","IATS","Interoception",FALSE,0.207180535800927,0.207180535800927
"iats_4","IATS","Interoception",FALSE,0.206810296898667,0.206810296898667
"iats_19","IATS","Interoception",FALSE,0.195601429682478,0.195601429682478
"ias_12","IAS","Interoception",FALSE,-0.192354253135805,0.192354253135805
"iats_12","IATS","Interoception",FALSE,0.189083511966448,0.189083511966448
"ias_11","IAS","Interoception",FALSE,-0.183959048365481,0.183959048365481
"iats_14","IATS","Interoception",FALSE,0.182861552731912,0.182861552731912
"ias_6","IAS","Interoception",FALSE,-0.178156571440518,0.178156571440518
"ias_3","IAS","Interoception",FALSE,-0.166015142660602,0.166015142660602
"ias_8","IAS","Interoception",FALSE,-0.152569675803807,0.152569675803807
"iats_9","IATS","Interoception",FALSE,0.148614540809976,0.148614540809976
"tas_15","TAS","Mental Health",FALSE,0.144794666139491,0.144794666139491
"ias_15","IAS","Interoception",FALSE,-0.141658436896408,0.141658436896408
"ias_14","IAS","Interoception",FALSE,-0.135220405053877,0.135220405053877
"ias_13","IAS","Interoception",FALSE,-0.122274100201895,0.122274100201895
"ias_17","IAS","Interoception",FALSE,-0.118450358418517,0.118450358418517
"tas_16","TAS","Mental Health",FALSE,0.115030624810571,0.115030624810571
"tas_18","TAS","Mental Health",FALSE,0.113632113177628,0.113632113177628
"ias_9","IAS","Interoception",FALSE,-0.107903365706646,0.107903365706646
"ias_1","IAS","Interoception",FALSE,-0.0970400903095189,0.0970400903095189
"ias_7","IAS","Interoception",FALSE,-0.0933600161510544,0.0933600161510544
"ias_10","IAS","Interoception",FALSE,-0.0903539774821294,0.0903539774821294
"tas_19","TAS","Mental Health",FALSE,0.0892652191852415,0.0892652191852415
"tas_8","TAS","Mental Health",FALSE,0.0784682184069217,0.0784682184069217
"tas_10","TAS","Mental Health",FALSE,0.0638577259327633,0.0638577259327633
"ias_21","IAS","Interoception",FALSE,0.0605333853665599,0.0605333853665599
"ias_16","IAS","Interoception",FALSE,-0.0510350000564783,0.0510350000564783
"tas_5","TAS","Mental Health",FALSE,-0.0456594253111455,0.0456594253111455
"iats_7","IATS","Interoception",FALSE,0.0445587682578433,0.0445587682578433
"ias_20","IAS","Interoception",FALSE,-0.0417157788268982,0.0417157788268982
"ias_18","IAS","Interoception",FALSE,-0.0282955502080893,0.0282955502080893
